date,series_id,category,value
2015-01-01,CUSR0000SEFC,Cereals & bakery,325.728
2015-02-01,CUSR0000SEFC,Cereals & bakery,326.521
2015-03-01,CUSR0000SEFC,Cereals & bakery,324.972
2015-04-01,CUSR0000SEFC,Cereals & bakery,325.895
2015-05-01,CUSR0000SEFC,Cereals & bakery,324.713
2015-06-01,CUSR0000SEFC,Cereals & bakery,325.447
2015-07-01,CUSR0000SEFC,Cereals & bakery,324.516
2015-08-01,CUSR0000SEFC,Cereals & bakery,322.202
2015-09-01,CUSR0000SEFC,Cereals & bakery,321.693
2015-10-01,CUSR0000SEFC,Cereals & bakery,320.252
2015-11-01,CUSR0000SEFC,Cereals & bakery,316.47
2015-12-01,CUSR0000SEFC,Cereals & bakery,311.309
2016-01-01,CUSR0000SEFC,Cereals & bakery,308.935
2016-02-01,CUSR0000SEFC,Cereals & bakery,308.063
2016-03-01,CUSR0000SEFC,Cereals & bakery,309.055
2016-04-01,CUSR0000SEFC,Cereals & bakery,306.75
2016-05-01,CUSR0000SEFC,Cereals & bakery,305.881
2016-06-01,CUSR0000SEFC,Cereals & bakery,302.151
2016-07-01,CUSR0000SEFC,Cereals & bakery,298.516
2016-08-01,CUSR0000SEFC,Cereals & bakery,298.958
2016-09-01,CUSR0000SEFC,Cereals & bakery,298.498
2016-10-01,CUSR0000SEFC,Cereals & bakery,296.83
2016-11-01,CUSR0000SEFC,Cereals & bakery,296.559
2016-12-01,CUSR0000SEFC,Cereals & bakery,294.845
2017-01-01,CUSR0000SEFC,Cereals & bakery,294.679
2017-02-01,CUSR0000SEFC,Cereals & bakery,295.794
2017-03-01,CUSR0000SEFC,Cereals & bakery,295.12
2017-04-01,CUSR0000SEFC,Cereals & bakery,294.774
2017-05-01,CUSR0000SEFC,Cereals & bakery,293.8
2017-06-01,CUSR0000SEFC,Cereals & bakery,298.839
2017-07-01,CUSR0000SEFC,Cereals & bakery,301.852
2017-08-01,CUSR0000SEFC,Cereals & bakery,301.58
2017-09-01,CUSR0000SEFC,Cereals & bakery,299.336
2017-10-01,CUSR0000SEFC,Cereals & bakery,298.849
2017-11-01,CUSR0000SEFC,Cereals & bakery,300.632
2017-12-01,CUSR0000SEFC,Cereals & bakery,305.23
2018-01-01,CUSR0000SEFC,Cereals & bakery,302.074
2018-02-01,CUSR0000SEFC,Cereals & bakery,301.812
2018-03-01,CUSR0000SEFC,Cereals & bakery,302.528
2018-04-01,CUSR0000SEFC,Cereals & bakery,305.031
2018-05-01,CUSR0000SEFC,Cereals & bakery,300.17
2018-06-01,CUSR0000SEFC,Cereals & bakery,301.45
2018-07-01,CUSR0000SEFC,Cereals & bakery,303.141
