date,series_id,category,value,yoy_pct_change
2016-01-01,CUSR0000SEFC,Cereals & bakery,308.935,-5.155528539149234
2016-02-01,CUSR0000SEFC,Cereals & bakery,308.063,-5.652928908094745
2016-03-01,CUSR0000SEFC,Cereals & bakery,309.055,-4.897960439668636
2016-04-01,CUSR0000SEFC,Cereals & bakery,306.75,-5.874591509535277
2016-05-01,CUSR0000SEFC,Cereals & bakery,305.881,-5.799583016386789
2016-06-01,CUSR0000SEFC,Cereals & bakery,302.151,-7.1581547840354975
2016-07-01,CUSR0000SEFC,Cereals & bakery,298.516,-8.011931615082158
2016-08-01,CUSR0000SEFC,Cereals & bakery,298.958,-7.214107919876344
2016-09-01,CUSR0000SEFC,Cereals & bakery,298.498,-7.21029055652439
2016-10-01,CUSR0000SEFC,Cereals & bakery,296.83,-7.313615527771889
2016-11-01,CUSR0000SEFC,Cereals & bakery,296.559,-6.291591620058778
2016-12-01,CUSR0000SEFC,Cereals & bakery,294.845,-5.28863604971267
2017-01-01,CUSR0000SEFC,Cereals & bakery,294.679,-4.614562933950516
2017-02-01,CUSR0000SEFC,Cereals & bakery,295.794,-3.982626930205835
2017-03-01,CUSR0000SEFC,Cereals & bakery,295.12,-4.5089061817475855
2017-04-01,CUSR0000SEFC,Cereals & bakery,294.774,-3.904156479217602
2017-05-01,CUSR0000SEFC,Cereals & bakery,293.8,-3.9495751615824304
2017-06-01,CUSR0000SEFC,Cereals & bakery,298.839,-1.0961406713861699
2017-07-01,CUSR0000SEFC,Cereals & bakery,301.852,1.117528038698068
2017-08-01,CUSR0000SEFC,Cereals & bakery,301.58,0.8770462740585572
2017-09-01,CUSR0000SEFC,Cereals & bakery,299.336,0.28073889942312746
2017-10-01,CUSR0000SEFC,Cereals & bakery,298.849,0.6801873126031754
2017-11-01,CUSR0000SEFC,Cereals & bakery,300.632,1.3734197916771995
2017-12-01,CUSR0000SEFC,Cereals & bakery,305.23,3.522189625057237
2018-01-01,CUSR0000SEFC,Cereals & bakery,302.074,2.5095103485487824
2018-02-01,CUSR0000SEFC,Cereals & bakery,301.812,2.0345240268565323
2018-03-01,CUSR0000SEFC,Cereals & bakery,302.528,2.510165356465177
2018-04-01,CUSR0000SEFC,Cereals & bakery,305.031,3.4796148914083336
2018-05-01,CUSR0000SEFC,Cereals & bakery,300.17,2.1681415929203585
2018-06-01,CUSR0000SEFC,Cereals & bakery,301.45,0.8737146088696468
2018-07-01,CUSR0000SEFC,Cereals & bakery,303.141,0.42703046526113564
2018-08-01,CUSR0000SEFC,Cereals & bakery,303.746,0.7182173884209719
2018-09-01,CUSR0000SEFC,Cereals & bakery,303.114,1.2621268407408293
2018-10-01,CUSR0000SEFC,Cereals & bakery,301.958,1.040324712480234
2018-11-01,CUSR0000SEFC,Cereals & bakery,302.845,0.7361159158040476
2018-12-01,CUSR0000SEFC,Cereals & bakery,303.113,-0.6935753366314024
2019-01-01,CUSR0000SEFC,Cereals & bakery,305.967,1.2887570595284448
2019-02-01,CUSR0000SEFC,Cereals & bakery,306.685,1.614581262507775
2019-03-01,CUSR0000SEFC,Cereals & bakery,306.42,1.2864924899513408
2019-04-01,CUSR0000SEFC,Cereals & bakery,305.495,0.15211568660233876
2019-05-01,CUSR0000SEFC,Cereals & bakery,307.292,2.372655495219367
2019-06-01,CUSR0000SEFC,Cereals & bakery,304.075,0.8707911759827436
2019-07-01,CUSR0000SEFC,Cereals & bakery,305.134,0.657449833575785
2019-08-01,CUSR0000SEFC,Cereals & bakery,304.428,0.2245297057409834
2019-09-01,CUSR0000SEFC,Cereals & bakery,306.197,1.0171090744736322
2019-10-01,CUSR0000SEFC,Cereals & bakery,308.594,2.1976566277429166
2019-11-01,CUSR0000SEFC,Cereals & bakery,310.854,2.644587165051404
2019-12-01,CUSR0000SEFC,Cereals & bakery,316.987,4.577170890064108
